Insertion Threads, Removal Threads, Replacement Threads,,,,
21618985, remove, finished,309, , false, [ 9 146 295 299 309 2950 3090 3320 ] 
21638192, remove, started,332, , , [ 9 146 295 299 309 2950 3090 3320 ] 
21809991, add, finished,12, , true, [ 9 12 146 295 299 309 2950 3090 3320 ] 
21817408, replace, started,332,3320, , [ 9 12 146 295 299 309 2950 3090 3320 ] 
21930583, remove, started,332, , , [ 9 12 146 295 299 309 2950 3090 3320 ] 
21959460, replace, started,332,3320, , [ 9 12 146 295 299 309 2950 3090 3320 ] 
21964090, add, started,46, , , [ 9 12 146 295 299 309 2950 3090 3320 ] 
22001671, add, finished,272, , true, [ 9 12 146 272 295 299 309 2950 3090 3320 ] 
22086925, replace, started,46,460, , [ 9 12 146 272 295 299 309 2950 3090 3320 ] 
22211230, replace, started,46,460, , [ 9 12 146 272 295 299 309 2950 3090 3320 ] 
22243167, add, started,56, , , [ 9 12 146 272 295 299 309 2950 3090 3320 ] 
22249052, replace, finished,332,3320, false, [ 9 12 146 272 295 299 309 2950 3090 3320 ] 
22317530, replace, finished,46,460, true, [ 9 12 146 272 295 299 309 460 2950 3090 3320 ] 
22322802, replace, started,56,560, , [ 9 12 146 272 295 299 309 460 2950 3090 3320 ] 
22382691, replace, finished,332,3320, false, [ 9 12 146 272 295 299 309 460 2950 3090 3320 ] 
22411520, replace, started,56,560, , [ 9 12 146 272 295 299 309 460 2950 3090 3320 ] 
22427012, remove, finished,332, , false, [ 9 12 146 272 295 299 309 460 2950 3090 3320 ] 
22719298, replace, finished,332,3320, false, [ 9 12 146 272 295 299 309 460 2950 3090 3320 ] 
22733931, replace, started,56,560, , [ 9 12 146 272 295 299 309 460 2950 3090 3320 ] 
22737244, remove, started,56, , , [ 9 12 146 272 295 299 309 460 2950 3090 3320 ] 
22740091, replace, started,56,560, , [ 9 12 146 272 295 299 309 460 2950 3090 3320 ] 
22838270, add, finished,332, , true, [ 9 12 146 272 295 299 309 332 460 2950 3090 3320 ] 
22846628, remove, started,56, , , [ 9 12 146 272 295 299 309 332 460 2950 3090 3320 ] 
22893393, add, finished,254, , true, [ 9 12 146 254 272 295 299 309 332 460 2950 3090 3320 ] 
22997167, add, started,340, , , [ 9 12 146 254 272 295 299 309 332 460 2950 3090 3320 ] 
23125827, replace, started,340,3400, , [ 9 12 146 254 272 295 299 309 332 460 2950 3090 3320 ] 
23149887, remove, started,340, , , [ 9 12 62 146 254 272 295 299 309 332 460 2950 3090 3320 ] 
23150479, add, finished,62, , true, [ 9 12 62 146 254 272 295 299 309 332 460 2950 3090 3320 ] 
23267563, add, finished,340, , true, [ 9 12 62 146 254 272 295 299 309 332 340 460 2950 3090 3320 ] 
23338123, replace, finished,56,560, true, [ 9 12 62 146 254 272 295 299 309 332 340 460 560 2950 3090 3320 ] 
23423732, remove, finished,56, , false, [ 9 12 62 146 254 272 295 299 309 332 340 460 560 2950 3090 3320 ] 
23555865, remove, finished,56, , false, [ 9 12 62 146 254 272 295 299 309 332 340 460 560 2950 3090 3320 ] 
25725088, remove, started,340, , , [ 9 12 62 146 254 272 295 299 309 332 340 460 560 2950 3090 3320 ] 
25728137, replace, started,340,3400, , [ 9 12 62 146 254 272 295 299 309 332 340 460 560 2950 3090 3320 ] 
25830486, replace, started,340,3400, , [ 9 12 62 146 254 272 295 299 309 332 340 460 560 2950 3090 3320 ] 
25955293, remove, started,340, , , [ 9 12 62 146 254 272 295 299 309 332 340 460 560 2950 3090 3320 ] 
25973761, remove, started,340, , , [ 9 12 62 146 254 272 295 299 309 332 340 460 560 2950 3090 3320 ] 
26007208, replace, finished,56,560, false, [ 9 12 62 146 254 272 295 299 309 332 340 460 560 2950 3090 3320 ] 
26209262, replace, finished,56,560, false, [ 9 12 62 146 254 272 295 299 309 332 340 460 560 2950 3090 3320 ] 
26388809, replace, finished,56,560, false, [ 9 12 62 146 254 272 295 299 309 332 340 460 560 2950 3090 3320 ] 
26652348, add, finished,56, , true, [ 9 12 56 62 146 254 272 295 299 309 332 340 460 560 2950 3090 3320 ] 
26782836, replace, finished,46,460, false, [ 9 12 56 62 146 254 272 295 299 309 332 340 460 560 2950 3090 3320 ] 
26904064, add, finished,46, , true, [ 9 12 46 56 62 146 254 272 295 299 309 332 340 460 560 2950 3090 3320 ] 
27024748, remove, finished,332, , false, [ 9 12 46 56 62 146 254 272 295 299 309 332 340 460 560 2950 3090 3320 ] 
27560603, remove, finished,340, , false, [ 9 12 46 56 62 146 254 272 295 299 309 332 340 460 560 2950 3090 3320 ] 
27611607, remove, finished,340, , false, [ 9 12 46 56 62 146 254 272 295 299 309 332 340 460 560 2950 3090 3320 ] 
27705027, replace, finished,340,3400, true, [ 9 12 46 56 62 146 254 272 295 299 309 332 340 460 560 2950 3090 3320 3400 ] 
27770390, replace, finished,340,3400, false, [ 9 12 46 56 62 146 254 272 295 299 309 332 340 460 560 2950 3090 3320 3400 ] 
27811264, remove, finished,340, , false, [ 9 12 46 56 62 146 254 272 295 299 309 332 340 460 560 2950 3090 3320 3400 ] 
28233285, remove, finished,340, , false, [ 9 12 46 56 62 146 254 272 295 299 309 332 340 460 560 2950 3090 3320 3400 ] 
28534216, replace, finished,340,3400, false, [ 9 12 46 56 62 146 254 272 295 299 309 332 340 460 560 2950 3090 3320 3400 ] 
